Company_Names,Cars_Names,Engines,cc_capacity,horsepower,top_speed_kmh,perf_0_100_s,price,Fuel_Types,seats,torque_nm
Jeep,Grand Cherokee,3.6L V6 Pentastar Gasoline,3600.0,293.0,209.0,7.0,41530.0,Petrol,5.0,352.0
Jeep,Grand Cherokee L,3.6L V6 Pentastar Gasoline,3600.0,293.0,209.0,7.2,43530.0,Petrol,7.0,352.0
Jeep,Cherokee,2.4L I4 Tigershark Gasoline,2400.0,180.0,195.0,8.5,37695.0,Petrol,5.0,230.0
Jeep,Compass,2.0L Turbo Gasoline,2000.0,200.0,200.0,7.8,31590.0,Petrol,5.0,320.0
Jeep,Renegade,1.3L Turbo I4 Gasoline,1300.0,177.0,200.0,8.7,28345.0,Petrol,5.0,285.0
Jeep,Gladiator,3.6L V6 Pentastar Gasoline,3600.0,285.0,177.0,8.1,38775.0,Petrol,5.0,353.0
Jeep,Wagoneer,5.7L V8 Gasoline with eTorque,5700.0,392.0,190.0,7.4,63595.0,Petrol,8.0,548.0
Jeep,Grand Wagoneer,6.4L V8 Gasoline,6400.0,471.0,190.0,6.0,91495.0,Petrol,8.0,617.0
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,17.3,375.0,210.0,6.0,59865.0,Hybrid,5.0,637.0
Jeep,Wrangler 4xe,2.0L Turbo PHEV,17.3,375.0,180.0,6.4,50695.0,Hybrid,5.0,637.0
Jeep,Compass 4xe,1.3L Turbo PHEV,11.4,240.0,200.0,7.3,46500.0,Hybrid,5.0,270.0
Jeep,Renegade 4xe,1.3L Turbo PHEV,11.4,240.0,200.0,7.5,44500.0,Hybrid,5.0,270.0
Mazda,Mazda2,1.5L 4-Cylinder,1500.0,108.0,180.0,10.2,-1500.0,Petrol,5.0,142.0
Jeep,Wagoneer S (Electric),Dual Electric Motors,100.0,600.0,177.0,4.5,80000.0,Electric,5.0,850.0
Jeep,Gladiator Mojave Edition,3.6L V6 Pentastar Gasoline,3600.0,285.0,177.0,8.6,51570.0,Petrol,5.0,353.0
Jeep,Grand Cherokee Summit Reserve,5.7L V8 Gasoline,5700.0,357.0,190.0,7.3,66575.0,Petrol,5.0,529.0
Jeep,Jeep Cherokee X Edition,3.2L V6 Pentastar Gasoline,3200.0,271.0,195.0,7.6,41295.0,Petrol,5.0,324.0
Jeep,Wrangler 392,6.4L V8 HEMI Gasoline,6400.0,470.0,160.0,4.5,82495.0,Petrol,4.0,637.0
Cadillac,XT4,2.0L Turbo Inline-4 Gasoline,2000.0,235.0,220.0,7.6,37490.0,Petrol,5.0,350.0
Cadillac,XT5,3.6L V6 Gasoline,3600.0,310.0,210.0,6.5,44195.0,Petrol,5.0,366.0
Cadillac,XT6,3.6L V6 Gasoline,3600.0,310.0,210.0,6.9,48595.0,Petrol,7.0,366.0
Cadillac,Lyriq EV,Single Electric Motor,100.0,340.0,190.0,5.7,58590.0,Electric,5.0,440.0
Cadillac,Escalade V,6.2L Supercharged V8 Gasoline,6200.0,682.0,200.0,4.4,149990.0,Petrol,7.0,885.0
Cadillac,Escalade Platinum,6.2L V8 Gasoline,6200.0,420.0,210.0,6.8,104595.0,Petrol,7.0,624.0
Cadillac,CT5-V Blackwing,6.2L Supercharged V8 Gasoline,6200.0,668.0,320.0,3.4,92000.0,Petrol,5.0,893.0
Cadillac,CT4-V Blackwing,3.6L Twin-Turbo V6 Gasoline,3600.0,472.0,290.0,3.9,60495.0,Petrol,5.0,603.0
Cadillac,XT4 Sport,2.0L Turbo Inline-4 Gasoline,2000.0,235.0,220.0,7.4,41390.0,Petrol,5.0,350.0
Cadillac,XT5 Sport,3.6L V6 Gasoline,3600.0,310.0,210.0,6.5,51095.0,Petrol,5.0,366.0
Cadillac,XT6 Sport,3.6L V6 Gasoline,3600.0,310.0,210.0,6.9,57095.0,Petrol,7.0,366.0
Cadillac,Lyriq Launch Edition,Single Electric Motor,100.0,340.0,190.0,5.7,59990.0,Electric,5.0,440.0
Cadillac,Lyriq EV Premium,Dual Electric Motors,100.0,500.0,210.0,4.5,64990.0,Electric,5.0,620.0
Cadillac,CT5 Premium Luxury,2.0L Turbo Inline-4 Gasoline,2000.0,237.0,240.0,6.8,41290.0,Petrol,5.0,350.0
Chevrolet,Spark,1.4L Inline-4 Gasoline,1400.0,98.0,180.0,10.7,14595.0,Petrol,5.0,127.0
Chevrolet,Sonic,1.4L Turbo Inline-4 Gasoline,1400.0,138.0,190.0,8.5,16720.0,Petrol,5.0,200.0
Chevrolet,Malibu,1.5L Turbo Inline-4 Gasoline,1500.0,160.0,210.0,8.0,25000.0,Petrol,5.0,250.0
Chevrolet,Camaro,2.0L Turbo Inline-4 Gasoline,2000.0,275.0,240.0,5.4,26400.0,Petrol,4.0,400.0
Chevrolet,Corvette,6.2L V8 Gasoline,6200.0,495.0,312.0,3.0,65895.0,Petrol,2.0,637.0
